name,slug,one_liner,long_description,website,batch,industry,subindustry,tags,team_size,status,stage,relevance_score,matched_keywords
Compresr,compresr,LLM-native context compression ,Compresr provides an API that compresses LLM context without losing what matters. It’s a drop-in for agents and RAG that cuts token costs and improves accuracy.,https://compresr.ai,Winter 2026,B2B,B2B -> Infrastructure,Artificial Intelligence; Developer Tools; B2B; Enterprise Software,4,Active,Early,24,T1:for agents; T2:\brag\b; T4:\binfrastructure\b; T4:\bdeveloper tool; T4:\bapi\b; T4:\btoken\b; T4:\bcontext\b
Playgent,playgent,Sandboxes for AI agents,"When enterprise agents fail in production, the conditions that caused the failure are critical: user state, data, tool calls, and context. Without a way to recreate these conditions, teams can't fix what broke.

Playgent provides infrastructure to create high-fidelity sandbox environments for AI agents. Our environments come packaged as a single MCP url where tool calls are mocked, authentication is abstracted away, and test data can be initialized via natural language or JSON specifications.

Teams can use Playgent to reproduce production failures in safe, scoped environments that accurately reconstruct state. Finally, export runs as OTel traces from Playgent's environment to plug directly into your observability tools or RL pipelines.",https://useplaygent.com,Summer 2025,Healthcare,Healthcare -> Healthcare IT,SaaS; Infrastructure; AI,2,Active,Early,24,T1:for ai agents; T2:\bmcp\b; T4:\binfrastructure\b; T4:\bauth; T4:\bobservab; T4:\bsandbox\b; T4:\bcontext\b
Kernel,kernel,"Crazy fast, open source infra for AI agents to use the Internet","Kernel is crazy fast, open source infra for AI agents to access the internet 🧠🕸️
- Built on unikernels for crazy fast cold starts and low resource usage
- Sub-150ms cold starts on managed headful browsers
- Built-in stealth mode with residential proxies and automatic CAPTCHA solving
- Full observability: session recording, live view, and full logs
- Persistent sessions that maintain cookies and auth across invocations
- Native support for all browser and computer use frameworks
- SOC 2 compliant and HIPAA-ready

Trusted by Cash App, Rye, and 1000+ others. Backed by Accel & Y Combinator (S25).",https://www.kernel.sh,Summer 2025,B2B,B2B -> Infrastructure,Developer Tools; Cloud Computing; Infrastructure; AI,6,Active,Growth,24,T1:for ai agents; T2:\bcomputer use\b; T4:\binfrastructure\b; T4:\bdeveloper tool; T4:\bauth; T4:\bobservab; T4:\bbrowser\b
Sentrial,sentrial,Production Monitoring for AI Agents,"Sentrial is the observability platform for AI agents in production. 

When your agent loops indefinitely, hallucinates, or frustrates users, Sentrial detects it in real-time, diagnoses the root cause, and recommends specific fixes. We provide the monitoring, evaluation, and debugging infrastructure that traditional tools weren't built for, so teams can ship agents with confidence and iterate based on real production behavior, not just evals/benchmarks.",https://sentrial.com/,Winter 2026,B2B,"B2B -> Engineering, Product and Design",AIOps; Developer Tools; B2B; AI,2,Active,Early,23,T1:for ai agents; T4:\binfrastructure\b; T4:\bplatform\b; T4:\bdeveloper tool; T4:\bmonitor; T4:\bobservab; T4:\bevaluat
Mantle,mantle,Build internal agents to automate back office work with one prompt,"Mantle connects to all your tools: your CRM, Mail, Calendar, Payments, Product Analytics, and more. With just one prompt, you can create agents that handle back office work for you.

These agents can automate reports  and email them to you, drafts emails right in your email client, generates pre-meeting research directly in your calendar event, and much more. They run quietly in the background, react to changes in real time, follow a schedule or work when you chat with them. 

You didn’t start up to stay stuck in admin. Turn your company AI-native with Mantle.",https://www.mantle.work,Fall 2025,B2B,B2B -> Operations,,2,Active,Early,23,T1:payments.*agent; T1:agent.*payment; T4:\bpayment
Nozomio,nozomio,Context augmentation for agents,"Nozomio is a product lab building engineers for the age of AI.

As coding agents become ubiquitous, the real bottleneck shifts from “write code” to “know which code and docs to feed them.” Starting with the tool named Nia, the mission is to provide context enrichment through agentic research and indexing of any external codebase(-s) or documentation via MCP / API.

Nozomio started with Arlan's early frustration with the agentic coding ecosystem, especially around context and memory. After winning Product of the Day in February and raising pre-seed, Arlan moved to London and then to SF as a solo immigrant from Kazakhstan to build the future of software engineering. 

try nia at trynia .ai <3 ",https://www.nozomio.com/,Summer 2025,B2B,"B2B -> Engineering, Product and Design",,1,Active,Early,23,T1:for agents; T2:\bagentic\b; T2:\bmcp\b; T4:\bapi\b; T4:\bmemory\b; T4:\bcontext\b
Trace,trace,Voice AI Customer Support for Financial Services,"We started Trace because we believe AI should wow customers, not frustrate them. As a result, we prioritize reliability and seamless customer interactions. 

Trace AI agents resolve calls end-to-end, securely integrating with bank systems and external APIs. So far, our agents handle quoting, application, and transaction tracking calls for our partners — but we’re still searching for new exciting use cases.

Question to all fintechs/banks: Which customer requests keep coming back to you? We’d love to learn how you handle them now and if they are ripe for automation. ",http://tracetec.co,W25,B2B,B2B,Artificial Intelligence; SaaS; Finance; B2B,3,Active,Early,23,T1:agent.*bank; T1:bank.*agent; T4:\bautomation\b
Sphinx,sphinx,AI Compliance Analysts for Banks & Fintechs,"Sphinx automates the manual work of compliance analysts. Our AI agents make AML decisions, helping banks and fintech eliminate onboarding bottlenecks.
",https://sphinxlabs.ai/,F24,Fintech,B2B -> Finance and Accounting,,2,Active,Early,23,T1:agent.*bank; T1:bank.*agent; T4:\bcompliance\b
Manufact (formerly mcp-use),manufact,Open source SDK & cloud infrastructure for MCP Servers & ChatGPT Apps ,"Manufact provides open-source dev tools and infrastructure for MCP to help dev teams quickly build and deploy MCP Servers for AI agents & MCP Apps for ChatGPT and Claude.
We developed the mcp-use SDK, which has over 5M downloads and 9,000 GitHub stars, and is used by 20% of the US 500.
Create MCP servers/apps in minutes, connect your GitHub repo, and make them immediately available to AI agents and ChatGPT.",https://manufact.com,Summer 2025,B2B,B2B -> Infrastructure,Developer Tools; B2B; Open Source; Infrastructure; AI,3,Active,Early,22,T1:for ai agents; T2:\bmcp\b; T4:\binfrastructure\b; T4:\bdeveloper tool; T4:\bsdk\b; T4:\bdeploy
Mastra,mastra,"The Javascript framework for building AI agents, from the Gatsby devs","Mastra is the easiest way to build a production AI application, built by the team that brought you Gatsby. We provide a complete set of AI primitives: workflows for complex operations, agents for autonomous decisions, RAG for knowledge integration, and evals for quality & accuracy. Mastra is open-source, modular, and built in Typescript for product developers. You can deploy Mastra on any cloud, and it gives you a straightforward syntax to solve the hardest problems building with AI: human-in-the-loop workflows, agent memory and tool selection, and output quality. ",https://mastra.ai,W25,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence; Developer Tools; Open Source; AI,8,Active,Early,22,T1:agent memory; T2:\brag\b; T4:\bdeveloper tool; T4:\bframework\b; T4:\bdeploy; T4:\bmemory\b
Scrapybara,scrapybara,Virtual Desktops for AI Agents,"Scrapybara hosts remote desktop instances for computer use agents like CUA and Claude Computer Use. With our unified API, developers can write one line of code to execute agents with any model and access low-level controls like the browser, filesystem, and code sandboxes. We handle autoscaling, auth, and system environments so anyone can deploy fleets of agents to production and automate any free-form computing task at scale.",https://scrapybara.com,F24,B2B,B2B,,2,Active,Early,22,T1:for ai agents; T2:\bcomputer use\b; T4:\bapi\b; T4:\bauth; T4:\bdeploy; T4:\bbrowser\b
Chamber,chamber,Autopiloting your AI infrastructure,"Chamber puts your AI infrastructure on autopilot. Our agentic AI enabled platform orchestrates, governs, and optimizes your AI infrastructure so teams can run ~50% more workloads on the same GPUs without manual intervention. It operates like an autonomous infrastructure team: continuously monitoring GPU clusters, forecasting demand, detecting unhealthy nodes, and reallocating resources in real time to where they create the most impact. Your ML teams move faster, infra waste drops, and GPU bottlenecks disappear.",https://www.usechamber.io,Winter 2026,B2B,B2B -> Infrastructure,Artificial Intelligence; Developer Tools; B2B; Enterprise Software; AI,4,Active,Early,21,T2:\bagentic\b; T2:\bai infrastructure\b; T2:\borchestrat.*ai\b; T2:\bai.*orchestrat; T4:\binfrastructure\b; T4:\bplatform\b; T4:\bdeveloper tool; T4:\bmonitor
Absurd,absurd,AI Brand and Performance Ads at Scale,"Absurd makes AI brand and performance ads at scale. Our last video for Kalshi (""Election Day"") did 1M+ views, and our videos average 400K+ organic views.

Companies like Replit, Brex, Whop, Reforge, and Micro1 use Absurd to create production-quality videos in 72 hours. We do it with a multi-agent orchestration layer, working closely with your team from concept to final cut.

Try it at absurd.com

We're hiring: absurd.com/careers",https://absurd.com/,Fall 2025,B2B,B2B -> Marketing,Generative AI; Video; Media; Marketing; Advertising,4,Active,Early,21,T1:agent orchestrat; T1:multi-agent
Rulebase,rulebase,AI agents for fraud detection and investigations.,"We build AI agents that protect fintechs and banks from account takeovers, impersonations, and phishing attacks, while also automating fraud investigations. Our AI agent  gathers and analyzes all the necessary evidence, reducing the average investigation time from 30 minutes to just 2 minutes.
",https://rulebase.co,F24,B2B,B2B -> Operations,FinOps; Finance; Fraud Prevention; Fraud Detection,2,Active,Early,21,T1:agent.*bank; T1:bank.*agent
Keet,keet,Authentication for AI Agents,"Keet provides authentication for AI agents. Developers use us to connect their customers accounts and perform actions on their behalf. 

Whether it be legacy software or consumer sites, Keet manages your users authenticated sessions and provides stable integrations on any web platform. Now your AI Agent can access healthcare data or send automated messages on LinkedIn via Keet’s API or SDK.",https://trykeet.com,S24,B2B,B2B,Artificial Intelligence; Developer Tools; B2B,2,Active,Early,21,T1:for ai agents; T4:\bplatform\b; T4:\bdeveloper tool; T4:\bapi\b; T4:\bsdk\b; T4:\bauth
Agentic Fabriq,agentic-fabriq,Okta for Agents.,"Agentic Fabriq is the single control plane for data permissioning throughout your entire organization across your AI and employees. Through Fabriq, any employee can tap into AI/agents with exactly the data and tools they're cleared to use by an admin. Fabriq can be used internally with employees or externally for customers while handling the auth + integrations + permissions securely for you.",https://www.agenticfabriq.com,Fall 2025,B2B,B2B,AIOps; DevSecOps; SaaS; API; Infrastructure,2,Active,Early,20,T1:for agents; T2:\bagentic\b; T4:\binfrastructure\b; T4:\bapi\b; T4:\bauth
Hyperspell,hyperspell,Memory for AI Agents,"Hyperspell (YC F25) gives AI agents memory.

It connects to tools like Slack, Gmail, Notion, and Drive so agents can recall, reason, and remember across company knowledge. Developers use Hyperspell’s API to turn disconnected agents into AI coworkers that understand their work. Conor and Manu founded Hyperspell after building their own workplace agent and seeing how limited AI is without memory. They have over 15 years of experience in machine learning and have scaled API-based products to $30M ARR.",https://hyperspell.com,Fall 2025,B2B,B2B -> Infrastructure,Artificial Intelligence; Developer Tools; Machine Learning; B2B; Infrastructure,3,Active,Early,19,T1:for ai agents; T4:\binfrastructure\b; T4:\bdeveloper tool; T4:\bapi\b; T4:\bmemory\b
Sourcebot,sourcebot,Helping humans and AI agents understand massive codebases,"Sourcebot is an open source code understanding platform for massive codebases. We’re used by thousands of engineers in some of the largest companies in the world, including NVIDIA, Red Hat, Wikimedia, and Arista Networks.

Understanding code, not writing it, is the primary bottleneck for large engineering teams. For developers, this means onboarding onto complex codebases faster. For AI agents, it means getting the necessary code context to minimize hallucinations and maximize cohesion within the wider codebase.

Sourcebot solves this by giving developers and AI agents the ability to regex search across millions of lines of code instantly, as well as ask questions across thousands of repos using any flagship reasoning model. Being open source and on-prem, we can get deployed in enterprises within minutes before other tools even get approval.

We met a decade ago at McGill University and have been building together full time for over 2 years. We’ve personally felt the pain of understanding large codebases while working at Microsoft, EA, Ubisoft, Google, and Meta.",https://www.sourcebot.dev/,Fall 2025,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence; Developer Tools; DevSecOps; B2B; Open Source,2,Active,Early,19,T1:for ai agents; T4:\bplatform\b; T4:\bdeveloper tool; T4:\bdeploy; T4:\bcontext\b
Lemma,uselemma,Continuous learning for AI agents,"Lemma enables AI agents to continuously improve from user feedback and production outcomes. Instead of relying on manual prompt tuning and reactive debugging, Lemma detects when an agent’s performance drifts, pinpoints the exact step causing failures, generates optimized prompt candidates, and automatically delivers improvements through our API or by opening a pull request in your codebase. 

Built by ex-AI engineers who felt this pain firsthand, Lemma turns static agents into self-improving systems, helping teams ship reliable AI products faster with compounding performance gains over time. 

Deploy 1x. Learn forever.",https://www.uselemma.ai/,Fall 2025,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence; Developer Tools; B2B; Infrastructure; AI,2,Active,Early,19,T1:for ai agents; T4:\binfrastructure\b; T4:\bdeveloper tool; T4:\bapi\b; T4:\bdeploy
Plexe,plexe,Open-source agent that builds ML models from a prompt,"Plexe connects to your data sources, discovers relevant fields and builds task-specific ML models from a problem description. Under the hood, it uses a multi-agent system to research and experiment with several model architectures, evaluate, refine and then deploy the best performing model over an API endpoint. Think of it like your own ML helper helping you go from idea to deployed ML models 10x faster.",https://plexe.ai,X25,B2B,"B2B -> Engineering, Product and Design",Developer Tools; Machine Learning; Open Source,2,Active,Early,19,T1:multi-agent; T4:\bdeveloper tool; T4:\bapi\b; T4:\bdeploy; T4:\bevaluat
Mbodi AI,mbodi-ai,Make Industrial Robots Learn Like Humans,"Teach robots new skills through natural language and run reliably in production in minutes.

Mbodi combines generative AI and agent orchestration, turning everyday language and quick demos into precise, reliable robot actions for industrial automation.",https://www.mbodi.ai/,Spring 2025,Industrials,Industrials -> Manufacturing and Robotics,Robotics; Automation; AI,4,Active,Early,19,T1:agent orchestrat; T2:\borchestrat.*ai\b; T2:\bai.*orchestrat; T4:\bautomation\b
Shor,shor,"The fastest, most affordable payroll for global teams","Shor is a new Employer-of-Record built from the ground up with AI agents and stablecoins. We enable remote teams to hire and pay global employees at a fraction of the cost. The process is fast, simple, and fully compliant.

Today, global payroll is broken. Payments take days, cost 5–10% in fees, and force companies to navigate complex banking, tax, and labor regulations. Platforms like Deel and Rippling solved this for large enterprises but remain too expensive and cumbersome for the millions of startups and growing remote teams scaling globally.

Shor fixes this by combining autonomous AI agents with stablecoin-based settlement. Our agents handle contracts, worker classification, compliance, and payroll automatically in a simple, messaging-first experience. Payments can settle in seconds rather than weeks at a fraction of the cost of legacy providers.

We are making global payroll fast, affordable, and accessible for the millions of companies left out by legacy platforms.",https://www.tryshor.com,Summer 2025,Fintech,Fintech -> Payments,Fintech; B2B; HR Tech; Payroll; AI,4,Active,Early,19,T1:agent.*payment; T4:\bpayment; T4:\bbanking\b; T4:\bcompliance\b; T4:\bstablecoin\b
Egress Health,egress-health,"Automated revenue cycle management, starting with dentists","Egress Health builds AI agents to automate revenue cycle management, starting with dental offices. Our workflows span eligibility checks, claims scrubbing, payment posting, and denial management. On average, our customers eliminate 1-2 full time employees and collect 5-15% more revenue each month. Interested in learning more? Shoot us a note at founders@tryegress.com",https://tryegress.com,W25,Healthcare,Healthcare,Workflow Automation; Healthcare; Health Insurance,2,Active,Early,19,T1:agent.*payment; T4:\bpayment; T4:\binsurance\b; T4:\bworkflow\b; T4:\bautomation\b
Lucidic AI,lucidic-ai,Weights & Biases for AI Agents,"As AI agents take on more complex tasks, ensuring reliability, accuracy, and efficiency is critical. Lucidic AI provides tools for AI agent devs, specifically visualizations and simulations, and engineers to test, debug, and optimize AI agents at scale, giving you full visibility into their decision-making. Modify prompts and re-run tests/simulations, watch step-by-step video replays of your agent’s execution, compare different models and configurations side by side, and visualize decision trees to prevent failures before they happen. Make sure your agents operate smoothly, adapt to changes, and perform as expected in real-world deployments.",https://lucidic.ai,W25,B2B,B2B,AIOps; Developer Tools; SaaS; Automation; AI,3,Active,Early,19,T1:for ai agents; T4:\bdeveloper tool; T4:\bdeploy; T4:\bautomation\b; T4:\bexecution\b
assistant-ui,assistant-ui,Open Source React.js Library for AI Chat,"assistant-ui helps frontend developers add AI chat to their apps. Our product is used by several dozen companies, like LangChain, Stack AI, Browser Use, and Athena Intelligence. We're building an open source Typescript/React library and a backend as a service, with first class integrations into popular agent frameworks like LangGraph and Vercel AI SDK.",https://assistant-ui.com,W25,B2B,B2B -> Infrastructure,Developer Tools; Generative AI; Chat; Web Development; AI Assistant,1,Active,Early,19,T1:agent framework; T4:\binfrastructure\b; T4:\bdeveloper tool; T4:\bsdk\b; T4:\bbrowser\b
Modelence,modelence,All-in-one TypeScript cloud for production AI apps,"You built the demo in a weekend. Now you need auth, a prod-grade database, real-time events, AI observability, cron jobs, email, monitoring… and you needed them yesterday.

We spent a decade at our previous startup, building a platform while scaling to millions of users and customers like Meta & Netflix. Now we put that into an open-source framework, so others wouldn’t have to do the same from scratch.

Modelence is a batteries-included framework that abstracts away boilerplate so you can just focus on building your product logic and nothing else - it’s like Next.js + Vercel + Supabase on a single platform, built for full-stack TypeScript.

Shipping production apps is much harder than building a prototype that runs locally and 95% of all production apps share the same building blocks. We did a massive amount of work on our previous platforms that was not specific to our product, and we’ve created Modelence to abstract that away:
- Authentication
- Database setup
- Hosting / CDN
- AI integration (LLM observability, prompts)
- Real-time events
- Cron jobs
- Email service
- Monitoring
- Analytics
- Admin dashboards

Andrej Karpathy recently posted about this same exact problem:
https://x.com/karpathy/status/1905051558783418370

and explained it further in his YC AI Startup School talk:
https://youtu.be/LCEmiRjPEtQ?feature=shared&t=1940",https://modelence.com,Summer 2025,B2B,B2B -> Infrastructure,Developer Tools; Infrastructure,3,Active,Early,18,T2:\bai observab; T4:\binfrastructure\b; T4:\bplatform\b; T4:\bdeveloper tool; T4:\bframework\b; T4:\bauth; T4:\bmonitor; T4:\bobservab
Praxos,praxos,Data layer for AI agents,"Developers use Praxos to give their AI agents memory, document processing, and autonomous tool use. Build AI that gets smarter and more personalized over time.",https://www.praxos.ai,S24,B2B,B2B,Developer Tools; AI,3,Active,Early,18,T1:for ai agents; T2:\btool use\b; T4:\bdeveloper tool; T4:\bmemory\b
Pipeshift,pipeshift,Modular Orchestration Platform for Open Source AI,"Pipeshift is a modular orchestration platform for building with open-source AI components — embeddings, vector databases, LLMs, vision models and audio models — across any cloud or on-prem. Enterprises get to deploy their AI workloads in production faster and more reliably. Additionally, as we see more model and hardware architectures coming in the market, Pipeshift future-proofs the infrastructure investments by offering flexibility through their modular MLOps stack that allows enterprises to bring down their GPU infrastructure costs without any additional engineering efforts on their end.",https://pipeshift.com,S24,B2B,B2B -> Infrastructure,AIOps; Artificial Intelligence; Generative AI; Infrastructure; AI,10,Active,Early,18,T2:\bmlops\b; T2:\borchestrat.*ai\b; T2:\bai.*orchestrat; T4:\binfrastructure\b; T4:\bplatform\b; T4:\bdeploy; T4:\bembedding
AgentMail,agentmail,Email Inboxes for AI Agents,"AgentMail is the email inbox API for AI agents. It gives agents their own email inboxes, like Gmail does for humans.",https://agentmail.to,Summer 2025,B2B,B2B -> Infrastructure,Developer Tools; API; Email,6,Active,Early,17,T1:for ai agents; T4:\binfrastructure\b; T4:\bdeveloper tool; T4:\bapi\b
Veritus,veritus,AI agents for the consumer lending industry,"Veritus is a omni-channel platform for deploying AI agents for loan servicing and collections, including inbound and outbound voice agents. Our agents negotiate repayment plans, follow up across channels, and drive recoveries with zero human involvement.

By combining cutting edge voice AI with deep regulatory compliance and vertical specialization we're able to drastically reduce the cost-to-collect while increasing recovery rates. ",https://www.veritus.com,Summer 2025,Fintech,Fintech -> Credit and Lending,Fintech; Lending; AI,10,Active,Early,17,T1:agent.*payment; T4:\bplatform\b; T4:\bcompliance\b; T4:\bdeploy
careCycle,carecycle,Voice AI teams for medicare agencies.,"careCycle is an AI workforce for medicare agencies and FMOs - helping leading agencies achieve 5x higher conversions, 37% better retention, and saving thousands of agent hours.

We're transforming how Medicare agencies handle member relationships with teams of voice AI agents. We're solving the industry's biggest challenge: 50% annual member churn caused by poor post-enrollment engagement.

Our multi-agent AI teams work together to handle the entire customer journey - from initial contact through enrollment and ongoing care. When a lead comes in after hours, one AI agent answers and schedules a callback, another calls at the perfect time, a third captures qualifying information, and a fourth handles the warm transfer to a licensed agent. This approach helped a leading FMO write over $2M in renewals during AEP 2024 while reducing agent talk time by 20% per sale.

We've pioneered a purpose-built solution for Medicare's unique compliance requirements. Unlike generic AI platforms, our system features built-in HIPAA/CMS compliance, real-time data structuring, and seamless CRM integration. This enables agencies of all sizes to deliver enterprise-grade member care without massive infrastructure investments.

Early metrics show the power of our approach:

- 5x increase in after-hours conversion rates
- 37% improvement in 90-day retention
- 3,000+ agent hours saved in a single AEP
- $2M+ in additional renewals during AEP 2024

The Medicare Advantage market represents a massive opportunity, with over $360B in annual premiums and growing 10% year over year. By solving the member retention challenge, we're positioning ourselves to capture significant value by transforming the member care experience for beneficiaries.",https://www.careCycle.ai,W25,B2B,B2B,Health Insurance; Telecommunications; Conversational AI,2,Active,Early,17,T1:multi-agent; T4:\binfrastructure\b; T4:\bcompliance\b; T4:\binsurance\b
