name,batch,website,one_liner,current_description,classification,layer,notes,relevance_score
Tesseral,Winter 2024,https://tesseral.com,The open source platform for managing identity in business software,Open source B2B user management. Has AI and Machine Identity section.,AGENT-INFRA-ADJACENT,identity,Identity management expanding into machine/AI identity.,13
Trace,Summer 2025,https://www.trace.so/,Workflow automation that routes tasks to humans and AI,AI orchestration layer for modern teams. Routes tasks to humans and AI.,AGENT-INFRA-ADJACENT,"orchestration, workflow",Summer 2025 batch. Different from W25 Trace. Workflow orchestration.,12
Halluminate,Summer 2025,https://halluminate.ai/,Data and RL environments to automate knowledge work,Data and RL environments for finance. (JS-rendered),AGENT-INFRA-ADJACENT,"training, RL",RL training environments. Finance-focused.,12
BrowserBook,Fall 2024,https://www.browserbook.com,The Browser Automation IDE,Browser Automation IDE. AI-enabled environment for deterministic browser automation.,AGENT-INFRA-ADJACENT,"browser, tools",Browser automation tooling. Adjacent to agent execution.,12
Keywords AI,W24,https://keywordsai.co,"LLM observability, prompt management, evals.","LLM Engineering Platform. Observability, prompt management, evals.",AGENT-INFRA-ADJACENT,observability,LLM observability. Not agent-specific but widely used by agent builders.,12
RunAnywhere,Winter 2026,https://www.runanywhere.ai/,The default way of running On-Device AI at Scale,On-Device AI for Mobile and Edge at scale.,AGENT-INFRA-ADJACENT,"inference, edge",Edge inference. Not agent-specific.,11
Parachute,Summer 2025,https://parachute-ai.com,Infrastructure for hospitals to monitor and deploy clinical AI ,Governance Infrastructure for Clinical AI. Monitor and deploy clinical AI.,AGENT-INFRA-ADJACENT,"governance, healthcare",AI governance for healthcare. Domain-specific but infrastructure pattern.,11
Patched,S24,https://patched.codes,Open-source workflow automation for dev teams,"Agentic workflows for Enterprise IT and Ops. Production-ready, runs in your infra.",AGENT-INFRA-ADJACENT,orchestration,Open-source agentic workflow platform.,11
Unsiloed AI,Fall 2025,https://www.unsiloed.ai/,API for parsing multimodal unstructured data,API for parsing multimodal unstructured data. (Empty),AGENT-INFRA-ADJACENT,data,Data parsing infrastructure for AI.,10
Confident AI,W25,https://confident-ai.com,Open-Source Unit Testing for LLM Applications,"AI Quality Platform. LLM Evaluation, Observability. Open-source DeepEval.",AGENT-INFRA-ADJACENT,"evaluation, testing",LLM testing/eval. Widely used but not agent-specific.,10
Exla,W25,https://exla.ai/,An SDK to run transformer models anywhere,SDK to run transformer models anywhere. Edge inference. (JS-rendered),AGENT-INFRA-ADJACENT,inference,Model inference SDK.,10
Circlemind,F24,https://circlemind.co,Circlemind is an open-source RAG using knowledge graphs and PageRank.,Open-source RAG using knowledge graphs and PageRank. General AI agents.,AGENT-INFRA-ADJACENT,"RAG, data",RAG infrastructure with knowledge graphs.,10
Reducto,W24,https://reducto.ai,The most accurate API to parse documents,Most accurate API to parse documents. $108M raised.,AGENT-INFRA-ADJACENT,"data, parsing",Document parsing API used by agents.,10
Trieve,W24,https://trieve.ai,"All-in-one API for search, RAG, & recommendations","All-in-one API for search, RAG, and recommendations.",AGENT-INFRA-ADJACENT,"RAG, search",Search/RAG infrastructure.,10
Chunkr,W24,https://chunkr.ai/,Open source API service to parse complex documents,Document Intelligence API for parsing and data extraction.,AGENT-INFRA-ADJACENT,"data, parsing",Document parsing for AI pipelines.,10
Velum Labs,Winter 2026,https://www.velum-labs.com/,Firewall that controls access to information across AI and humans,Ontology Engine for Enterprise AI. Firewall for information access.,AGENT-INFRA-ADJACENT,"security, data",Data access control for AI. Adjacent to agent security.,9
Tinfoil,X25,https://tinfoil.sh,AI that runs on the cloud with the privacy of on-prem,Verifiably Private AI. Runs AI with confidential computing.,AGENT-INFRA-ADJACENT,"security, privacy",Privacy infrastructure for AI. Not agent-specific.,9
Jazzberry,X25,https://jazzberry.ai,(formerly Prophet) Training LLMs to be expert software testers,RL Environments for training LLMs to be software testers.,AGENT-INFRA-ADJACENT,training,RL training environments.,9
Luminal,Summer 2025,https://luminal.com,Making AI run fast on any hardware.,Inference at the Speed of Light. Compiles AI models for fastest inference.,AGENT-INFRA-ADJACENT,inference,Inference optimization. Not agent-specific.,9
CTGT,F24,https://www.ctgt.ai/,Entirely New AI Stack: Efficient and Safe Alternative to LLM Ecosystem,AI governance with guarantees. Safe alternative to LLM ecosystem.,AGENT-INFRA-ADJACENT,"safety, governance",AI safety/governance. Not agent-specific.,9
Maitai,S24,https://trymaitai.ai,"Reliable, self-improving enterprise AI","Deploy AI Agents With Confidence. Reliable, self-improving enterprise AI.",AGENT-INFRA-ADJACENT,"deployment, optimization",Agent deployment and optimization platform.,9
expand.ai,S24,https://expand.ai/,Turn any website into an API.,Turn any website into an API. Scraping for developers.,AGENT-INFRA-ADJACENT,"data, scraping",Web scraping API used by agents for data access.,9
SciPhi,W24,https://www.sciphi.ai,"SciPhi is building R2R, the most advanced retrieval system.",R2R - most advanced retrieval system. (Empty),AGENT-INFRA-ADJACENT,RAG,RAG infrastructure.,9
Downlink,W24,https://downlink.dev/,Make your LLMs 3x faster.,"Platform that improves AI. Boost rate limits, cut latency, raise accuracy.",AGENT-INFRA-ADJACENT,"inference, optimization",LLM optimization. Not agent-specific.,9
OpenFoundry,W24,https://www.openfoundry.ai/,The fastest developer experience for building on open source AI.,Ship AI stack faster on open source AI.,AGENT-INFRA-ADJACENT,deployment,Open-source AI deployment platform.,9
HelixDB,Spring 2025,https://helix-db.com,The fastest & most scalable graph-vector database on the market,Native Graph-Vector Database. Fastest and most scalable.,AGENT-INFRA-ADJACENT,database,Database infrastructure used by agents.,8
Unsloth AI,S24,https://unsloth.ai/,Open Source Fine-tuning & Training of LLMs,Open Source Fine-tuning and Training of LLMs.,AGENT-INFRA-ADJACENT,training,LLM training infrastructure. Not agent-specific.,8
CloudGlue,S24,https://cloudglue.dev,Developer APIs to let your AI/LLM understand videos and audio.,Videos as context for AI. Developer APIs for video and audio understanding.,AGENT-INFRA-ADJACENT,data,Multimodal data infrastructure for AI.,8
Lantern,W24,http://lantern.dev,Postgres vector database extension to build AI applications,Postgres vector database extension for AI applications.,AGENT-INFRA-ADJACENT,database,Vector database. Infrastructure used by agents.,8
Mantle,Fall 2025,https://www.mantle.work,Build internal agents to automate back office work with one prompt,Build internal agents to automate back office work with one prompt.,AGENT-AS-PRODUCT,back-office,"Agent builder for back-office. Product, not infrastructure.",23
Sphinx,F24,https://sphinxlabs.ai/,AI Compliance Analysts for Banks & Fintechs,AI Compliance Agent for KYB and AML Automation for banks and fintechs.,AGENT-AS-PRODUCT,compliance,AI agent product for financial compliance.,23
Rulebase,F24,https://rulebase.co,AI agents for fraud detection and investigations.,AI agents for fraud detection and investigations. Every interaction compliance assured.,AGENT-AS-PRODUCT,compliance,Agent product for fraud/compliance.,21
Plexe,X25,https://plexe.ai,Open-source agent that builds ML models from a prompt,Agentic ML Engineering Team. Turn data into custom ML models from a prompt.,AGENT-AS-PRODUCT,ML,"AI agent that builds ML models. Product, not infra.",19
Egress Health,W25,https://tryegress.com,"Automated revenue cycle management, starting with dentists","AI agents to automate insurance tasks for dentists. Benefits verification, claim submission.",AGENT-AS-PRODUCT,healthcare,Vertical AI agent for dental insurance.,19
Veritus,Summer 2025,https://www.veritus.com,AI agents for the consumer lending industry,"AI agents for consumer lending industry. Voice, SMS, email agents.",AGENT-AS-PRODUCT,lending,Vertical AI agents for lending.,17
careCycle,W25,https://www.careCycle.ai,Voice AI teams for medicare agencies.,Voice AI teams for Medicare agencies.,AGENT-AS-PRODUCT,healthcare,Vertical voice AI for Medicare.,17
FirstWork,S24,https://firstwork.com,Rippling for seasonal workers,"AI Agents for Frontline Workforces. Document verification, browser automation.",AGENT-AS-PRODUCT,HR,Vertical AI agents for seasonal workers/HR.,17
14.ai,Winter 2024,https://14.ai,AI Customer Service Platform and BPO for Your B2C Business,AI Customer Service Agency for B2C Brands.,AGENT-AS-PRODUCT,customer service,AI customer service agent product.,17
Eloquent AI,X25,https://www.eloquentai.co/,Agentic AI Platform for Financial Services,AI Operator for Financial Services. Automate up to 96% of compliance work.,AGENT-AS-PRODUCT,financial services,Vertical AI agent for financial services.,16
Quantstruct,W25,https://quantstruct.com,AI documentation engineer – test & autoimprove stale product docs,AI documentation engineer. Test and auto-improve stale product docs.,AGENT-AS-PRODUCT,documentation,Agent product for documentation.,16
Patientdesk.ai,Winter 2026,https://patientdesk.ai/,AI voice agent for patient calls & admin workflows,AI voice agent for patient calls. AI Booking System for Dental.,AGENT-AS-PRODUCT,healthcare,Vertical voice AI for healthcare.,15
Platus,F24,https://www.platus.com,"Instant Legal Infrastructure - Draft, Sign, Notarize & Process",Instant Legal Infrastructure. AI workspace for legal work with agents.,AGENT-AS-PRODUCT,legal,Legal AI product with agents on autopilot.,15
Kastle,S24,https://kastle.ai/,AI agents for mortgage servicing,AI agents for mortgage servicing. Most deployed voice agents in mortgage.,AGENT-AS-PRODUCT,lending,Vertical voice AI agents for mortgage.,15
Synthetic Sciences,Winter 2026,https://syntheticsciences.ai/,AI co-scientists that run research end-to-end,Orchestrate AI Co-Scientists. AI that runs research end-to-end.,AGENT-AS-PRODUCT,research,AI scientist agents. Product not infrastructure.,14
Conduit,W24,https://www.conduit.app/,Conversational AI agents for the built world,AI Agents for Support and Sales for built world.,AGENT-AS-PRODUCT,customer service,W24 batch. Same product as Winter 2024 Conduit.,13
Corelayer,Winter 2026,https://www.corelayer.com,AI on-call engineer that debugs using data,AI on-call engineer for financial services. Debugs using data.,AGENT-AS-PRODUCT,devops,Vertical AI agent for engineering on-call.,13
Trava,Winter 2025,https://www.usetrava.com/,AI agents for global trade compliance,AI compliance platform for global trade. Protect margin on every import.,AGENT-AS-PRODUCT,compliance,Trade compliance AI agent product.,13
Luthor,F24,https://luthor.ai,AI Agents for Marketing Compliance,Fastest first-pass marketing review. AI Agents for Marketing Compliance.,AGENT-AS-PRODUCT,compliance,Marketing compliance AI agent.,13
Seals AI,S24,https://www.hireseals.ai/,AI Employees for Wholesalers & Distributors,AI Employees for Wholesalers and Distributors. (JS-rendered),AGENT-AS-PRODUCT,wholesale,Vertical AI agents for wholesale/distribution.,13
Arva AI,S24,https://www.arva.ai,AI scale AML and KYB operations,AI Agents for Financial Crime Compliance. AML and KYB operations.,AGENT-AS-PRODUCT,compliance,Financial crime compliance agent product.,13
Tensol,Winter 2026,https://www.tensol.ai,"AI Employees for Startups, Built on OpenClaw",Managed AI Employees built on OpenClaw. Deploy for business.,AGENT-AS-PRODUCT,general,AI employee product for startups.,11
Sonarly,Winter 2026,https://sonarly.com,The AI engineer for production,AI Prod Debugger. AI engineer for production.,AGENT-AS-PRODUCT,devops,AI agent for production debugging.,11
F2,Summer 2025,http://f2.ai,The AI platform for private markets investors,AI platform for private markets investors.,AGENT-AS-PRODUCT,finance,Vertical AI for private markets.,11
Guardian AI,S24,https://www.withguardian.ai/,Helping healthcare providers fight insurance denials.,Healthcare providers fight insurance denials. (Connection error),AGENT-AS-PRODUCT,healthcare,Healthcare AI agent.,11
Zimi,S24,https://www.withzimi.com,AI automating post-purchase operations and support for e-commerce,AI automating post-purchase operations for e-commerce. (Empty),AGENT-AS-PRODUCT,ecommerce,E-commerce automation agent.,11
PathPilot,S24,https://www.getpathpilot.com/,AI platform helping Customer Experience teams scale efficiently,"AI platform for CX teams. BNPL, embedded lending.",AGENT-AS-PRODUCT,customer service,Customer experience AI agent product.,11
Stilta,Winter 2026,https://stilta.com,Cursor for patent practitioners,Cursor for patent practitioners. (JS-rendered),AGENT-AS-PRODUCT,legal,Vertical AI for patent work.,10
Bolna AI,Fall 2025,https://bolna.ai,Voice AI to enable India's next billion,"Voice AI Agents for Indian Languages. Outbound, inbound, support, recruitment.",AGENT-AS-PRODUCT,voice AI,Vertical voice AI for India.,10
Moby Analytics,Spring 2025,https://www.mobyanalytics.com/,AI financial auditors,AI platform for auditors. Financial auditors.,AGENT-AS-PRODUCT,finance,Vertical AI for financial auditing.,10
Cotool,Spring 2025,https://cotool.ai,AI Agents for Security Operations Teams,AI Agents for Security Operations Teams. Automate detection and response.,AGENT-AS-PRODUCT,security,SecOps AI agent product.,10
Asteroid,W25,https://asteroid.ai,Browser agents for regulated industries,"AI Browser Agents for Enterprise Automation. Healthcare, insurance, government.",AGENT-AS-PRODUCT,browser automation,Browser automation agent product for enterprise.,10
Fira,W25,https://firaresearch.com/,Agentic AI platform for investment firms,Financial AI Research Workspace for investment firms.,AGENT-AS-PRODUCT,finance,Vertical AI for investment research.,10
VortexifyAI,Fall 2024,https://www.vortexify.ai,Build AI applications and automations for supply chain operations,AI applications and automations for supply chain operations. (Empty),AGENT-AS-PRODUCT,supply chain,Vertical AI for supply chain.,10
Markprompt,W24,https://markprompt.com,AI for customer support,AI agents that solve hardest support challenges.,AGENT-AS-PRODUCT,customer service,Customer support AI agent product.,10
Ruma Care,Winter 2026,https://rumacare.com,We help clinics get patients on biologics faster,Help clinics get patients on biologics faster. Prior auth automation.,AGENT-AS-PRODUCT,healthcare,Healthcare automation product.,9
Unisson,Winter 2026,https://www.unisson.ai,The AI product specialist for customer-facing teams,AI agents for customer-facing teams. Product specialist.,AGENT-AS-PRODUCT,sales,AI agent for sales/customer teams.,9
